项目名称,状态,项目名称2,空,日期,来源,aihelp链接,处理信息
【2.1.60全服】：敌方莫修对己方莫修释放大招未生效Enemy Marcel ultimate not working on me as a Marcel(AIHelp:20260319000734),定位中未修复,【2.1.60全服】：敌方莫修对己方莫修释放大招未生效Enemy Marcel ultimate not working on me as a Marcel(AIHelp:20260319000734),,2026/03/20,BugGarage,https://ml-panel.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YRFT7L,目前设计如此，暂不考虑优化，请安抚玩家。（表现符合预期暂不考虑优化）
"【2.1.60全服】：尽管参加了29场比赛并赢得了79 ％的胜利，但MMR不会因莫修的比赛而获得奖励，也不会在常用英雄中显示 MMR is not awarded for games in Marseille and is not shown in the favorites, despite 29 games played and 79% of wins.(AIHelp:20260318000991)",定位中未修复,"【2.1.60全服】：尽管参加了29场比赛并赢得了79 ％的胜利，但MMR不会因莫修的比赛而获得奖励，也不会在常用英雄中显示 MMR is not awarded for games in Marseille and is not shown in the favorites, despite 29 games played and 79% of wins.(AIHelp:20260318000991)",,2026/03/20,BugGarage,https://ml-panel.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YRZFF9,3月18号买的英雄，17号打的对局，那个时候，玩家不拥有英雄，不会有mmr分数生成
【2.1.64测服】：【AI开单】商店商品显示异常 - 转售商品显示为'limited'且无价格 (aihelp:YREBDJ),定位中未修复,【2.1.64测服】：【AI开单】商店商品显示异常 - 转售商品显示为'limited'且无价格 (aihelp:YREBDJ),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YREBDJ,此皮肤为限时活动测服显示正常
【2.1.64测服】：【AI开单】皮肤消失问题 (aihelp:YDPBHF),定位中未修复,【2.1.64测服】：【AI开单】皮肤消失问题 (aihelp:YDPBHF),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YDPBHF,目前贝恩处于翻新效果状态，故礼包和皮肤一起禁用中
【2.1.60全服】：邀请回流玩家但是被判定为活跃玩家(AIHelp:20260314000689),定位中未修复,【2.1.60全服】：邀请回流玩家但是被判定为活跃玩家(AIHelp:20260314000689),,2026/03/20,BugGarage,https://ml-panel.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSHZEP,通过邀请码邀请回归玩家，邀请的回归玩家点击邀请码后会直接进入该活动页面，回归玩家点击帮好友砍价，邀请的玩家才能获得折扣优惠
【2.1.60全服】：【AI开单】个人资料头像上传功能失效 (aihelp:YDRE69),定位中未修复,【2.1.60全服】：【AI开单】个人资料头像上传功能失效 (aihelp:YDRE69),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YDRE69,再次咨询玩家相关信息，玩家未回复，故先关单，后续关注
【2.1.60全服】：【AI开单】Carisma Kipas兑换钻石后数量未增加 (aihelp:YD2JGF),定位中未修复,【2.1.60全服】：【AI开单】Carisma Kipas兑换钻石后数量未增加 (aihelp:YD2JGF),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YD2JGF,玩家一个页签是送礼的，一个是收礼的，二个不是同一个数据，无异常兑换码，是玩家已经通过其他的激活码兑换了同一批次的奖励，所以无法再领取了魅力值不一致：是因为送礼物的账号，有退款的情况导致的，符合预期
【2.1.60全服】：【AI开单】【菲爾斯valir】Valir皮肤颜色显示异常 (aihelp:YDQEU8),定位中未修复,【2.1.60全服】：【AI开单】【菲爾斯valir】Valir皮肤颜色显示异常 (aihelp:YDQEU8),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YDQEU8,转缺陷
【2.1.60全服】：【AI开单】观看好友游戏直播功能失效 (aihelp:YDU4PG),定位中未修复,【2.1.60全服】：【AI开单】观看好友游戏直播功能失效 (aihelp:YDU4PG),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YDU4PG,和程序确认，上周因为缅甸的直连网络问题，为了避免影响战斗，把直播功能给关闭了，之后会开启，后续关注
【2.1.60全服】：【AI开单】组队语音通话中麦克风声音无法传输给队友 (aihelp:YDZWDF),定位中未修复,【2.1.60全服】：【AI开单】组队语音通话中麦克风声音无法传输给队友 (aihelp:YDZWDF),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YDZWDF,客诉单中的结论：网络问题导致，玩家链接语音服失败，后续已经恢复美国包，目前没有语音功能SDK问题，引导玩家清理GP商店的缓存后，在尝试
【2.1.64测服】：【AI开单】游戏更新下载过程中在47%进度处回退重下 (aihelp:YDEYLM),定位中未修复,【2.1.64测服】：【AI开单】游戏更新下载过程中在47%进度处回退重下 (aihelp:YDEYLM),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YDEYLM,仍需86版本线上观察
【2.1.64测服】：【AI开单】对局结束后资源被要求重新下载 (aihelp:YDVMMQ),定位中未修复,【2.1.64测服】：【AI开单】对局结束后资源被要求重新下载 (aihelp:YDVMMQ),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YDVMMQ,
【2.1.60全服】：【AI开单】新品抽奖活动中COA抽奖次数计数异常 (aihelp:YSHE9L),定位中未修复,【2.1.60全服】：【AI开单】新品抽奖活动中COA抽奖次数计数异常 (aihelp:YSHE9L),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSHE9L,首页玩家抽取皮肤流水进度正常#1玩家根据流水查看到从任务获取的扭蛋券数量无误#2玩家抽取了2次450钻的10连抽，获取道具正常#3玩家玩家抽取获得代币符合预期，流水获取正常#4玩家流水查到在抽取到了绿野仙踪的情况下商城跳转为其他英雄皮肤，表现正常
【2.1.60全服】：【AI开单】星光活动抽奖保底机制失效 (aihelp:YSME85),定位中未修复,【2.1.60全服】：【AI开单】星光活动抽奖保底机制失效 (aihelp:YSME85),,2026/03/20,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSME85,抽取星光活动无保底机制，后台查询首页玩家已抽到星光卡奖励请前往背包查看#1玩家流水查询已经使用高级星光卡，可让提供视频认证#2玩家已经使用星光卡#3玩家#4玩家已经抽取且使用了高级星光卡#5玩家活动并无说明有保底机制
